Gene_ID,MDD_1:read count,MDD_2:read count,MDD_3:read count,MDD_4:read count,MDD_5:read count,MDD_6:read count,HC_1:read count,HC_2:read count,HC_3:read count,HC_4:read count,HC_5:read count,Length,Name,Description,Entrez_geneID
ENSG00000003056,1561,1588,1550,1616,1748,678,2352,2862,2232,1120,1324,3585,M6PR,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]",4074
ENSG00000003096,10,20,11,6,18,9,13,29,15,22,9,6928,KLHL13,kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931],90293
ENSG00000003137,0,0,0,0,0,0,0,0,0,0,0,4839,CYP26B1,cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581],56603
ENSG00000003147,26,53,43,36,28,25,38,44,57,21,35,4883,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343],3382
ENSG00000003249,20,17,31,17,6,6,19,17,40,7,16,4462,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455],79007
ENSG00000003393,196,263,341,344,374,104,526,654,579,224,201,33513,ALS2,alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443],57679
ENSG00000003400,927,1037,920,776,654,212,1473,1384,1361,382,559,8920,CASP10,caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500],843
ENSG00000003402,7325,8290,7039,12016,9977,3233,12874,10636,11322,5301,5966,22478,CFLAR,CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876],8837
ENSG00000003436,11,27,12,19,18,28,37,18,9,30,8,11714,TFPI,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760],7035
ENSG00000003509,280,331,251,330,322,64,514,565,461,171,179,3651,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816],55471
ENSG00000003756,2940,3414,3195,4079,3935,853,5801,5442,5334,1633,2055,10357,RBM5,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902],10181
ENSG00000003987,52,67,66,55,55,22,128,103,85,24,47,6928,MTMR7,myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454],9108
ENSG00000003989,0,0,0,0,0,0,0,1,0,0,0,7905,SLC7A2,solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060],6542
ENSG00000004059,372,426,324,496,402,185,565,549,588,473,458,1825,ARF5,ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658],381
ENSG00000004139,27,44,52,29,19,8,89,86,71,20,17,11105,SARM1,sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074],23098
ENSG00000004142,286,315,263,291,243,98,497,473,454,191,195,2670,POLDIP2,DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781],26073
ENSG00000004399,197,431,315,260,210,32,503,387,398,100,111,9557,PLXND1,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],23129
ENSG00000004455,1609,1824,1583,1518,1884,673,2336,2677,2136,1306,1323,17967,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362],204
ENSG00000004468,638,378,677,396,371,91,858,671,936,196,216,6857,CD38,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667],952
ENSG00000004478,260,146,217,205,257,59,321,411,314,103,128,5163,FKBP4,FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720],2288
ENSG00000004487,606,696,631,492,570,97,1111,1066,1027,215,357,18325,KDM1A,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],23028
ENSG00000004534,1859,1942,2184,2159,2635,440,3837,3576,2946,780,1259,7299,RBM6,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903],10180
ENSG00000004660,98,102,91,141,112,33,319,143,286,58,136,7433,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469],84254
ENSG00000004700,720,776,906,694,954,384,1216,1479,985,493,557,3779,RECQL,RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948],5965
ENSG00000004766,417,565,581,466,688,245,824,1007,661,320,379,9559,VPS50,VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956],55610
ENSG00000004776,0,0,0,0,0,0,0,0,0,0,0,1724,HSPB6,heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511],126393
ENSG00000004777,7,5,14,11,15,5,27,11,23,6,9,5260,ARHGAP33,Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085],115703
ENSG00000004779,226,281,262,215,294,211,326,426,280,267,249,1548,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694],4706
ENSG00000004799,71,230,381,277,356,186,357,527,963,256,343,4544,PDK4,pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812],5166
ENSG00000004809,10,58,29,11,34,12,19,47,26,13,33,3907,SLC22A16,solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302],85413
ENSG00000004838,14,14,18,4,11,5,20,22,22,12,8,2889,ZMYND10,zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412],51364
ENSG00000004846,0,0,0,0,0,2,0,1,0,0,0,8796,ABCB5,ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46],340273
ENSG00000004848,0,0,0,0,0,0,0,0,1,0,0,3114,ARX,aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060],170302
ENSG00000004864,135,186,183,157,167,50,233,283,247,70,99,3710,SLC25A13,solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983],10165
ENSG00000004866,52,49,43,57,61,27,62,84,53,45,34,6526,ST7,suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351],7982
ENSG00000004897,883,881,1028,892,1054,410,1378,1404,1153,537,725,6824,CDC27,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728],996
ENSG00000004939,2309,1512,5254,2297,1330,1860,1029,780,2015,1568,2464,5125,SLC4A1,solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027],6521
ENSG00000004948,0,1,0,0,0,0,1,0,0,0,0,4222,CALCR,calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440],799
ENSG00000004961,283,316,242,261,338,136,346,379,299,195,225,2343,HCCS,holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837],3052
ENSG00000004975,91,88,72,100,81,13,204,183,184,50,55,5321,DVL2,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086],1856
ENSG00000005001,1,4,0,0,4,1,1,0,4,2,3,2384,PRSS22,serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368],64063
ENSG00000005007,625,701,678,981,601,143,1539,865,1243,384,480,8934,UPF1,UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962],5976
ENSG00000005020,2695,2307,2975,3805,7177,2586,4103,3854,2899,3246,3520,5361,SKAP2,src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687],8935
ENSG00000005022,911,1100,1108,1055,1442,676,1259,1476,1276,786,988,1555,SLC25A5,solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991],292
ENSG00000005059,835,918,901,702,1027,481,1140,1373,945,537,749,3555,MCUB,mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076],55013
ENSG00000005073,0,0,0,0,0,0,0,0,0,0,0,2669,HOXA11,homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101],3207
ENSG00000005075,245,352,206,268,368,280,323,384,291,289,247,937,POLR2J,RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197],5439
ENSG00000005100,191,188,206,182,188,37,378,324,298,90,104,5789,DHX33,DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718],56919
ENSG00000005102,12,19,14,7,16,7,14,16,18,4,2,2674,MEOX1,mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013],4222
ENSG00000005108,13,5,2,5,14,2,6,7,18,1,3,10915,THSD7A,thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207],221981
ENSG00000005156,210,184,191,156,156,30,367,335,319,80,107,12901,LIG3,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600],3980
ENSG00000005175,1024,1119,1008,951,1319,812,1348,1607,1098,571,979,5350,RPAP3,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151],79657
ENSG00000005187,74,63,75,88,133,69,108,176,137,131,105,7510,ACSM3,acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522],6296
ENSG00000005189,21,22,18,21,38,18,29,31,31,13,20,4111,REXO5,RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661],81691
ENSG00000005194,300,267,257,226,265,74,495,548,395,160,186,3383,CIAPIN1,cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050],57019
ENSG00000005206,117,148,125,145,117,17,311,254,200,57,88,7419,SPPL2B,signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627],56928
ENSG00000005238,596,636,561,937,556,278,1008,847,969,549,573,6375,FAM214B,family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666],80256
ENSG00000005243,6,6,3,9,13,3,23,18,7,4,4,1866,COPZ2,COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356],51226
ENSG00000005249,865,1446,799,1167,1635,2102,1438,911,822,2940,814,4262,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392],5577
ENSG00000005302,2313,2416,2220,4161,3348,1031,3686,4282,2961,1636,1674,9780,MSL3,MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370],10943
ENSG00000005339,766,863,787,1555,939,288,1761,1186,1398,518,734,15479,CREBBP,CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348],1387
ENSG00000005379,121,89,140,114,99,13,398,301,243,69,71,11389,TSPOAP1,TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831],9256
ENSG00000005381,29,60,58,90,26,5,46,76,64,14,125,4427,MPO,myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218],4353
ENSG00000005421,0,0,1,1,0,0,0,0,0,0,0,2657,PON1,paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204],5444
ENSG00000005436,184,233,200,185,244,93,378,398,325,116,170,5462,GCFC2,GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317],6936
ENSG00000005448,46,42,44,48,45,9,66,76,55,19,33,2852,WDR54,WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770],84058
ENSG00000005469,151,184,232,196,247,74,342,382,278,125,135,4995,CROT,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366],54677
ENSG00000005471,45,42,32,32,79,48,70,56,58,37,52,7728,ABCB4,ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45],5244
ENSG00000005483,1708,2144,1916,2382,2074,486,3554,3213,3178,1134,1251,13704,KMT2E,lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541],55904
ENSG00000005486,257,232,266,342,206,90,424,343,379,176,214,2390,RHBDD2,rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082],57414
ENSG00000005513,10,7,4,8,9,0,15,19,11,6,6,4470,SOX8,SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203],30812
ENSG00000005700,897,883,1148,809,1083,407,1405,1794,1303,546,725,8719,IBTK,inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853],25998
ENSG00000005801,452,519,466,386,534,185,760,735,643,260,242,11711,ZNF195,zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986],7748
ENSG00000005810,1804,2028,2100,1953,2339,559,3181,3372,2733,804,1198,34127,MYCBP2,MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386],23077
ENSG00000005812,1350,1535,1358,1725,2071,950,2246,2559,2123,1452,1512,7076,FBXL3,F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599],26224
ENSG00000005844,1942,2044,2139,2789,1746,321,4968,3686,3515,894,1236,9864,ITGAL,integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148],3683
ENSG00000005882,45,49,43,55,38,11,99,64,71,26,48,5471,PDK2,pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810],5164
ENSG00000005884,18,19,16,13,13,3,38,26,17,4,7,9802,ITGA3,integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139],3675
ENSG00000005889,1404,1665,1506,1614,1305,610,1640,1608,1413,921,748,9037,ZFX,zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869],7543
ENSG00000005893,5750,5937,5270,8705,8918,3841,8621,7713,8042,5764,6592,9404,LAMP2,lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501],3920
ENSG00000005961,306,281,232,387,258,265,778,123,200,416,139,5695,ITGA2B,integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138],3674
ENSG00000005981,0,0,0,0,0,0,0,0,0,0,0,4606,ASB4,ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009],51666
ENSG00000006007,651,653,735,1198,888,470,914,895,879,585,531,4390,GDE1,glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644],51573
ENSG00000006015,104,138,102,102,97,27,192,217,165,101,60,3371,REX1BD,required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098],55049
ENSG00000006016,0,2,0,2,0,1,1,3,1,0,1,2967,CRLF1,cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364],9244
ENSG00000006025,69,79,82,97,68,10,161,120,137,35,42,6572,OSBPL7,oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387],114881
ENSG00000006042,3,2,0,1,0,1,0,2,0,1,1,5187,TMEM98,transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529],26022
ENSG00000006047,2,0,0,0,0,0,0,3,1,0,1,4631,YBX2,Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948],51087
ENSG00000006059,0,0,0,0,0,0,0,0,0,0,0,1303,KRT33A,keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450],3883
ENSG00000006062,142,134,118,158,120,33,286,194,220,74,84,5668,MAP3K14,mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853],9020
ENSG00000006071,0,0,0,0,0,0,0,0,1,0,0,27254,ABCC8,ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59],6833
ENSG00000006116,0,0,0,0,0,0,0,1,0,0,0,1917,CACNG3,calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407],10368
ENSG00000006118,2,1,0,1,1,1,0,0,2,2,0,7274,TMEM132A,transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092],54972
ENSG00000006125,1980,2101,2381,2482,2542,780,3615,3697,3225,1255,1572,7591,AP2B1,adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563],163
ENSG00000006128,0,0,0,0,0,0,0,0,0,0,0,1712,TAC1,tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517],6863
ENSG00000006194,107,113,124,112,78,23,211,175,150,59,74,8450,ZNF263,zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056],10127
ENSG00000006210,0,0,0,0,0,0,0,0,0,0,0,5960,CX3CL1,C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647],6376
ENSG00000006282,94,174,110,93,30,29,182,163,118,45,59,5337,SPATA20,spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125],64847
ENSG00000006283,0,0,0,0,0,0,0,0,0,0,0,10062,CACNA1G,calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394],8913
ENSG00000006327,15,24,12,22,19,19,29,30,42,34,29,1801,TNFRSF12A,TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152],51330
ENSG00000006377,0,0,0,0,0,0,0,0,0,0,0,3445,DLX6,distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919],1750
ENSG00000006432,57,44,58,47,62,26,106,118,85,18,30,12386,MAP3K9,mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861],4293
ENSG00000006451,627,656,610,545,730,255,841,1070,726,488,526,3579,RALA,RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839],5898
ENSG00000006453,12,4,7,3,4,3,31,15,14,1,8,4821,BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649],55971
ENSG00000006459,2487,3151,3198,4172,3837,1230,4246,4143,4231,1899,2282,9378,KDM7A,lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224],80853
ENSG00000006468,3,1,0,2,1,1,0,2,8,1,0,9592,ETV1,ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490],2115
ENSG00000006530,480,516,597,385,543,126,894,1118,802,289,273,10697,AGK,acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869],55750
ENSG00000006534,261,352,268,340,200,60,537,424,496,159,185,6622,ALDH3B1,aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410],221
ENSG00000006555,78,61,84,91,78,8,183,164,153,34,33,6111,TTC22,tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067],55001
ENSG00000006576,969,1058,923,860,1118,250,1241,1427,1375,540,533,8665,PHTF2,putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411],57157
ENSG00000006606,0,0,0,0,0,0,0,0,0,0,0,703,CCL26,C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625],10344
ENSG00000006607,178,186,142,154,159,34,268,230,225,79,87,14371,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]",9855
ENSG00000006611,0,0,0,0,0,0,0,0,0,0,0,4904,USH1C,USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597],10083
ENSG00000006625,26,32,37,40,45,10,65,80,65,22,19,1594,GGCT,gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705],79017
ENSG00000006634,221,279,305,242,332,135,428,439,328,217,254,4595,DBF4,DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364],10926
ENSG00000006638,23,5,22,18,13,6,30,22,22,23,6,2827,TBXA2R,thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608],6915
ENSG00000006652,323,434,414,717,651,181,626,700,689,325,371,7902,IFRD1,interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456],3475
ENSG00000006659,0,0,0,0,0,1,0,0,0,0,0,904,LGALS14,galectin 14 [Source:HGNC Symbol;Acc:HGNC:30054],56891
ENSG00000006695,88,104,96,94,80,19,169,176,157,54,58,6756,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260],1352
ENSG00000006704,0,1,3,2,0,0,0,5,1,0,0,6499,GTF2IRD1,GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661],9569
ENSG00000006712,318,272,240,404,315,88,627,463,621,174,239,2850,PAF1,"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]",54623
ENSG00000006715,1365,1400,1525,1415,2178,891,2064,2032,1993,1044,1173,7752,VPS41,VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713],27072
ENSG00000006740,10,1,3,7,10,4,8,5,3,0,0,9322,ARHGAP44,Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096],9912
ENSG00000006744,255,309,298,307,235,67,569,517,416,119,169,7002,ELAC2,elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198],60528
ENSG00000006747,1,9,3,2,2,1,2,7,3,3,2,11626,SCIN,scinderin [Source:HGNC Symbol;Acc:HGNC:21695],85477
ENSG00000006756,207,253,153,212,92,34,296,174,243,130,94,7026,ARSD,arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717],414
ENSG00000006757,49,69,74,61,55,35,64,101,56,32,28,3411,PNPLA4,patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887],8228
ENSG00000006788,0,0,0,0,0,0,0,0,0,0,0,6120,MYH13,myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571],8735
ENSG00000006831,782,755,776,868,903,286,1466,1308,1371,524,689,5831,ADIPOR2,adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041],79602
ENSG00000006837,4,5,1,5,5,1,5,11,9,7,2,3149,CDKL3,cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483],51265
ENSG00000007001,3,1,3,1,1,1,3,3,2,3,1,2957,UPP2,uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061],151531
ENSG00000007038,12,9,21,25,14,7,16,21,15,7,10,1967,PRSS21,serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485],10942
ENSG00000007047,84,111,90,139,60,35,181,202,173,73,97,6656,MARK4,microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538],57787
